epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
80,4886.33,1.6822,1.26566,0.97749,0.57691,0.44224,0.47294,0.32327,1.66759,1.30451,0.9901,0.000281417,0.000281417,0.000281417
81,4947.86,1.70597,1.28121,0.97127,0.51501,0.46434,0.48121,0.33282,1.67424,1.30871,0.99456,0.000277536,0.000277536,0.000277536
82,5008.85,1.67813,1.27619,0.97099,0.56189,0.44152,0.48142,0.33208,1.64872,1.29314,0.99115,0.000273655,0.000273655,0.000273655
83,5070.12,1.68431,1.25287,0.97375,0.59778,0.45426,0.50133,0.3424,1.64095,1.27677,0.98714,0.000269774,0.000269774,0.000269774
84,5130.1,1.67316,1.2579,0.97557,0.58538,0.46972,0.50393,0.34708,1.64283,1.27605,0.98712,0.000265894,0.000265894,0.000265894
85,5189.53,1.6895,1.25827,0.97345,0.59628,0.46753,0.50378,0.3477,1.65233,1.28868,0.98867,0.000262013,0.000262013,0.000262013
86,5251.04,1.67584,1.25092,0.97106,0.58555,0.46253,0.49928,0.34187,1.63611,1.26835,0.98584,0.000258132,0.000258132,0.000258132
87,5311.48,1.66896,1.24427,0.96739,0.51639,0.48911,0.49265,0.33834,1.64518,1.28146,0.98616,0.000254251,0.000254251,0.000254251
88,5373.06,1.64832,1.25726,0.95981,0.58952,0.47413,0.50397,0.34713,1.63797,1.25387,0.98514,0.00025037,0.00025037,0.00025037
89,5432.82,1.64513,1.23672,0.97027,0.60012,0.47081,0.51467,0.35356,1.63362,1.25582,0.98411,0.00024649,0.00024649,0.00024649
90,5493.57,1.65321,1.24752,0.96301,0.57649,0.46017,0.50352,0.34248,1.64385,1.29139,0.98855,0.000242609,0.000242609,0.000242609
91,5553.63,1.66719,1.26014,0.96264,0.5727,0.46887,0.51389,0.35154,1.64323,1.26258,0.98588,0.000238728,0.000238728,0.000238728
92,5614.03,1.6543,1.24137,0.96096,0.62118,0.44811,0.50518,0.34162,1.64138,1.28266,0.98725,0.000234847,0.000234847,0.000234847
93,5673.59,1.64033,1.22053,0.9684,0.61594,0.48532,0.51686,0.35379,1.63235,1.27024,0.98176,0.000230966,0.000230966,0.000230966
94,5733.55,1.64768,1.2087,0.96447,0.67504,0.44933,0.51889,0.35927,1.61834,1.26468,0.98365,0.000227086,0.000227086,0.000227086
